ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
USG,111318.0,2006-02-21,2006-05-20,87.33,85.0,-0.0267,2006-02-21,6.1,6.7,6.298,2006-05-20,0.0,0.05,0.034,6.264,0.0741,0.3397,53697.83,6.0,51000.0,3758.4,57456.23
SWK,110460.0,2006-02-23,2006-04-22,49.4,47.5,-0.0385,2006-02-23,0.5,0.7,0.566,2006-04-22,0.0,0.05,0.034,0.5319999999999999,0.0119,0.0762,53697.83,11.0,52250.0,585.2,54283.03
TOL,111071.0,2006-02-23,2006-06-17,33.11,30.0,-0.0939,2006-02-23,1.45,1.5,1.466,2006-06-17,2.8,2.9,2.867,-1.401,0.0489,0.1627,53697.83,18.0,54000.0,-2521.8,51176.03
RCII,109575.0,2006-02-21,2006-06-17,23.02,22.5,-0.0226,2006-02-21,1.0,1.1,1.033,2006-06-17,0.0,0.1,0.067,0.966,0.0459,0.1494,53697.83,24.0,54000.0,2318.4,56016.23
CVH,103485.0,2006-02-21,2006-04-22,58.91,56.625,-0.0388,2006-02-21,1.55,1.7,1.6,2006-04-22,5.5,5.8,5.701,-4.100999999999999,0.0283,0.1823,53697.83,9.0,50962.5,-3690.9,50006.93
LNCR,106970.0,2006-02-21,2006-05-20,42.0,40.0,-0.0476,2006-02-21,1.25,1.4,1.3,2006-05-20,1.1,1.25,1.201,0.09899999999999998,0.0325,0.1398,53697.83,13.0,52000.0,128.7,53826.53
BSX,102296.0,2006-02-22,2006-05-20,24.2,22.5,-0.0702,2006-02-22,0.8,0.85,0.817,2006-05-20,2.3,2.4,2.367,-1.55,0.0363,0.159,53697.83,24.0,54000.0,-3720.0,49977.83
MDC,107084.0,2006-02-27,2006-06-17,62.45,60.0,-0.0392,2006-02-27,3.3,3.5,3.366,2006-06-17,7.8,8.2,8.068,-4.702,0.0561,0.1956,53697.83,9.0,54000.0,-4231.8,49466.03
WHR,112015.0,2006-02-21,2006-06-17,89.26,85.0,-0.0477,2006-02-21,3.5,3.8,3.599,2006-06-17,3.9,4.2,4.101,-0.5019999999999998,0.0423,0.1372,53697.83,6.0,51000.0,-301.2,53396.630000000005
GPS,105120.0,2006-02-21,2006-06-17,19.1,17.5,-0.0838,2006-02-21,0.55,0.6,0.567,2006-06-17,0.05,0.15,0.117,0.44999999999999996,0.0324,0.104,53697.83,31.0,54250.0,1395.0,55092.83
DHI,103651.0,2006-02-21,2006-05-20,34.64,30.0,-0.1339,2006-02-21,0.85,0.95,0.883,2006-05-20,2.8,2.95,2.901,-2.018,0.0294,0.1259,53697.83,18.0,54000.0,-3632.4,50065.43
WMT,111860.0,2006-02-21,2006-06-17,45.97,45.0,-0.0211,2006-02-21,1.4,1.5,1.433,2006-06-17,0.0,0.05,0.034,1.399,0.0318,0.102,53697.83,12.0,54000.0,1678.8,55376.630000000005
MTH,107452.0,2006-03-03,2006-06-17,57.36,55.0,-0.0411,2006-03-03,3.7,4.0,3.799,2006-06-17,6.9,7.3,7.168,-3.369,0.0691,0.2547,53697.83,10.0,55000.0,-3369.0,50328.83
MVL,107254.0,2006-02-21,2006-06-17,16.02,15.0,-0.0637,2006-02-21,0.65,0.75,0.683,2006-06-17,0.0,0.05,0.034,0.649,0.0455,0.1481,53697.83,36.0,54000.0,2336.4,56034.23
KOSP,106737.0,2006-02-23,2006-05-20,43.19,40.0,-0.0739,2006-02-23,2.8,3.0,2.866,2006-05-20,0.0,0.05,0.034,2.8320000000000003,0.0717,0.3363,53697.83,13.0,52000.0,3681.6,57379.43
CHRW,102524.0,2006-02-21,2006-05-20,42.56,40.0,-0.0602,2006-02-21,1.4,1.55,1.45,2006-05-20,0.0,0.05,0.034,1.416,0.0362,0.1566,53697.83,13.0,52000.0,1840.8,55538.630000000005
PHM,109297.0,2006-02-23,2006-04-22,40.46,40.0,-0.0114,2006-02-23,2.1,2.15,2.117,2006-04-22,0.15,0.3,0.251,1.866,0.0529,0.3771,53697.83,13.0,52000.0,2425.8,56123.630000000005
TUP,111256.0,2006-03-02,2006-04-22,21.22,20.0,-0.0575,2006-03-02,0.25,0.4,0.299,2006-04-22,0.0,0.05,0.034,0.265,0.0149,0.11,53697.83,27.0,54000.0,715.5,54413.33
HRB,102244.0,2006-02-21,2006-04-22,25.21,22.5,-0.1075,2006-02-21,0.25,0.35,0.283,2006-04-22,0.05,0.1,0.084,0.19899999999999995,0.0126,0.078,53697.83,24.0,54000.0,477.6,54175.43
LXK,106917.0,2006-02-21,2006-04-22,47.63,45.0,-0.0552,2006-02-21,0.9,0.95,0.917,2006-04-22,0.0,0.05,0.034,0.883,0.0204,0.1288,53697.83,12.0,54000.0,1059.6,54757.43
