c_ask,gross_profit,contracts,expiry,actual_notional,delta,target_notional,f_mid,c_bid,f_ask,ticker,total_profit,c_date,ending_total,f_date,c_mid,current,f_bid,trade_date,strike
2.05,0.25,8.0,2007-10-20,30000.0,-0.01,31775.46,1.65,1.9,1.65,USG,200.0,2007-08-30,31975.46,2007-10-20,1.9,37.78,1.5,2007-08-30,37.5
1.6,1.05,10.0,2007-09-22,32500.0,0.0,31775.46,0.15,1.2,0.15,EME,1050.0,2007-08-27,32825.46,2007-09-22,1.2,32.39,0.0,2007-08-27,32.5
1.75,1.45,10.0,2007-10-20,32500.0,0.01,31775.46,0.05,1.5,0.05,COG,1450.0,2007-08-29,33225.46,2007-10-20,1.5,32.23,0.0,2007-08-29,32.5
1.15,1.05,8.0,2007-09-22,32000.0,-0.02,31775.46,0.05,1.1,0.05,NEM,840.0,2007-08-27,32615.46,2007-09-22,1.1,40.77,0.0,2007-08-27,40.0
1.2,1.0,6.0,2007-09-22,30000.0,0.0,31775.46,0.05,1.05,0.05,AET,600.0,2007-08-27,32375.46,2007-09-22,1.05,49.95,0.0,2007-08-27,50.0
1.35,1.15,4.0,2007-09-22,34000.0,-0.02,31775.46,0.05,1.2,0.05,CVX,460.0,2007-08-27,32235.46,2007-09-22,1.2,86.87,0.0,2007-08-27,85.0
1.75,1.5999999999999999,4.0,2007-09-22,32000.0,-0.01,31775.46,0.05,1.65,0.05,COP,640.0,2007-08-27,32415.46,2007-09-22,1.65,80.77,0.0,2007-08-27,80.0
0.7,0.5499999999999999,11.0,2007-09-22,33000.0,-0.04,31775.46,0.05,0.6,0.05,HP,605.0,2007-08-27,32380.46,2007-09-22,0.6,31.2,0.0,2007-08-27,30.0
0.7,-1.15,11.0,2007-09-22,33000.0,-0.02,31775.46,1.75,0.6,1.75,YRCW,-1265.0,2007-08-27,30510.46,2007-09-22,0.6,30.7,1.65,2007-08-27,30.0
1.9,1.7,11.0,2007-09-22,33000.0,0.02,31775.46,0.05,1.75,0.05,CMC,1870.0,2007-08-27,33645.46,2007-09-22,1.75,29.49,0.0,2007-08-27,30.0
