ticker,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
PAY,2011-07-18,2011-08-20,41.66,41.0,-0.0158,2011-07-18,1.9,2.0,1.933,2011-08-20,7.4,9.6,8.874,-6.941000000000001,0.0471,0.6522,98277.39,24.0,98400.0,-16658.4,81618.98999999999
NFLX,2011-07-18,2011-08-20,278.36,275.0,-0.0121,2011-07-18,15.35,15.6,15.432,2011-08-20,69.65,69.9,69.818,-54.385999999999996,0.0561,0.8138,98277.39,4.0,110000.0,-21754.4,76522.98999999999
UAL,2011-07-18,2011-08-20,20.24,20.0,-0.0119,2011-07-18,0.91,0.93,0.917,2011-08-20,2.68,2.78,2.747,-1.8299999999999998,0.0459,0.6316,98277.39,49.0,98000.0,-8967.0,89310.39
CVLT,2011-07-21,2011-08-20,41.93,41.0,-0.0222,2011-07-21,2.25,2.45,2.316,2011-08-20,7.9,10.2,9.441,-7.125000000000001,0.0565,0.9339,98277.39,24.0,98400.0,-17100.0,81177.39
WBMD,2011-07-20,2011-08-20,35.77,35.0,-0.0215,2011-07-20,1.7,1.95,1.782,2011-08-20,2.15,2.65,2.485,-0.7029999999999998,0.0509,0.7799,98277.39,28.0,98000.0,-1968.4,96308.99
SWKS,2011-07-18,2011-08-20,22.27,21.0,-0.057,2011-07-18,0.9,0.95,0.917,2011-08-20,2.1,2.3,2.234,-1.317,0.0437,0.5946,98277.39,47.0,98700.0,-6189.9,92087.49
IDCC,2011-07-18,2011-08-20,42.15,41.0,-0.0273,2011-07-18,2.7,2.9,2.766,2011-08-20,0.0,0.15,0.101,2.665,0.0675,1.0392,98277.39,24.0,98400.0,6396.0,104673.39
ADSK,2011-07-18,2011-08-20,35.52,35.0,-0.0146,2011-07-18,1.47,1.51,1.483,2011-08-20,9.55,12.1,11.259,-9.776,0.0424,0.573,98277.39,28.0,98000.0,-27372.8,70904.59
CHSI,2011-07-18,2011-08-20,60.63,60.0,-0.0104,2011-07-18,1.9,3.9,2.56,2011-08-20,8.4,11.0,10.142,-7.581999999999999,0.0427,0.578,98277.39,16.0,96000.0,-12131.2,86146.19
FFIV,2011-07-18,2011-08-20,113.25,110.0,-0.0287,2011-07-18,6.4,6.5,6.433,2011-08-20,40.4,40.8,40.668,-34.235,0.0585,0.8593,98277.39,9.0,99000.0,-30811.5,67465.89
QCOM,2011-07-20,2011-08-20,58.25,57.5,-0.0129,2011-07-20,2.42,2.46,2.433,2011-08-20,10.9,11.05,11.001,-8.568,0.0423,0.6179,98277.39,17.0,97750.0,-14565.6,83711.79
VMW,2011-07-18,2011-08-20,102.02,100.0,-0.0198,2011-07-18,5.3,5.4,5.333,2011-08-20,23.1,23.4,23.301,-17.967999999999996,0.0533,0.7621,98277.39,10.0,100000.0,-17968.0,80309.39
IPGP,2011-07-18,2011-08-20,66.79,65.0,-0.0268,2011-07-18,3.3,3.5,3.366,2011-08-20,14.1,14.8,14.569,-11.203000000000001,0.0518,0.7349,98277.39,15.0,97500.0,-16804.5,81472.89
HFC,2011-07-18,2011-08-20,71.06,70.0,-0.0149,2011-07-18,3.4,3.6,3.466,2011-08-20,2.2,3.7,3.205,0.2610000000000001,0.0495,0.6939,98277.39,14.0,98000.0,365.4,98642.79
CF,2011-07-18,2011-08-20,152.57,150.0,-0.0168,2011-07-18,6.65,6.85,6.716,2011-08-20,0.0,0.05,0.034,6.682,0.0448,0.613,98277.39,7.0,105000.0,4677.4,102954.79
APKT,2011-07-18,2011-08-20,64.8,62.5,-0.0355,2011-07-18,3.5,4.1,3.698,2011-08-20,22.2,22.9,22.669,-18.971,0.0592,0.8728,98277.39,16.0,100000.0,-30353.6,67923.79000000001
CVI,2011-07-18,2011-08-20,25.88,25.0,-0.034,2011-07-18,1.25,1.45,1.316,2011-08-20,0.45,0.6,0.55,0.766,0.0526,0.7493,98277.39,39.0,97500.0,2987.4,101264.79
MSTR,2011-07-18,2011-08-20,167.15,165.0,-0.0129,2011-07-18,8.4,9.3,8.697,2011-08-20,57.1,60.7,59.512,-50.815,0.0527,0.7511,98277.39,6.0,99000.0,-30489.0,67788.39
JCP,2011-07-18,2011-08-20,31.45,31.0,-0.0143,2011-07-18,1.33,1.36,1.34,2011-08-20,6.25,6.85,6.652,-5.312,0.0432,0.5863,98277.39,32.0,99200.0,-16998.4,81278.98999999999
DWA,2011-07-18,2011-08-20,20.48,20.0,-0.0234,2011-07-18,0.9,1.0,0.933,2011-08-20,0.5,1.15,0.935,-0.0020000000000000018,0.0467,0.6453,98277.39,49.0,98000.0,-9.8,98267.59
