c_ask,f_ask,a_yield,c_date,ending_total,f_date,c_mid,current,trade_date,actual_notional,contracts,expiry,strike,s_yield,delta,f_mid,c_bid,target_notional,ticker,total_profit,gross_profit,f_bid
1.0,3.65,0.3137,2015-02-18,24968.07,2015-03-20,0.712,34.98,2015-02-18,27900.0,9.0,2015-03-20,31.0,0.023,-0.11,3.422,0.57,27407.07,DO,-2439.0,-2.71,2.96
1.0,0.1,0.0995,2015-02-18,27673.07,2015-03-27,0.732,82.41,2015-02-18,30000.0,4.0,2015-03-27,75.0,0.0098,-0.09,0.067,0.6,27407.07,FOSL,266.0,0.665,0.0
0.67,0.03,0.0579,2015-02-18,27551.67,2015-03-27,0.502,96.28,2015-02-18,25950.0,3.0,2015-03-27,86.5,0.0058,-0.1,0.02,0.42,27407.07,AET,144.6,0.482,0.0
0.8,0.05,0.09,2015-02-18,27633.07,2015-03-27,0.599,74.22,2015-02-18,26800.0,4.0,2015-03-27,67.0,0.0089,-0.1,0.034,0.5,27407.07,DECK,226.0,0.565,0.0
0.5,0.9,0.3277,2015-02-18,26302.67,2015-03-20,0.299,13.51,2015-02-18,27500.0,22.0,2015-03-20,12.5,0.0239,-0.07,0.801,0.2,27407.07,RES,-1104.4,-0.502,0.6
1.45,0.1,0.274,2015-02-19,27893.07,2015-03-20,1.282,69.94,2015-02-19,26000.0,4.0,2015-03-20,65.0,0.0197,-0.07,0.067,1.2,27407.07,HP,486.0,1.215,0.0
0.45,0.15,0.0661,2015-02-18,27531.57,2015-03-27,0.35,59.14,2015-02-18,26500.0,5.0,2015-03-27,53.0,0.0066,-0.1,0.101,0.3,27407.07,FLR,124.5,0.24899999999999997,0.0
0.85,0.15,0.169,2015-02-18,27748.07,2015-03-20,0.783,66.52,2015-02-18,30000.0,5.0,2015-03-20,60.0,0.0131,-0.1,0.101,0.75,27407.07,WLK,341.0,0.682,0.0
0.5,0.5,0.0655,2015-02-18,27372.57,2015-03-20,0.266,56.06,2015-02-18,25000.0,5.0,2015-03-20,50.0,0.0053,-0.11,0.335,0.15,27407.07,HNT,-34.5,-0.069,0.0
0.75,0.95,0.2127,2015-02-18,27393.07,2015-03-20,0.616,41.37,2015-02-18,26600.0,7.0,2015-03-20,38.0,0.0162,-0.08,0.636,0.55,27407.07,CVI,-14.0,-0.020000000000000018,0.0
0.5,0.05,0.19,2015-02-18,27772.27,2015-03-20,0.366,28.04,2015-02-18,27500.0,11.0,2015-03-20,25.0,0.0146,-0.11,0.034,0.3,27407.07,PPC,365.2,0.33199999999999996,0.0
0.4,0.2,0.0541,2015-02-18,27446.07,2015-03-20,0.199,50.26,2015-02-18,27000.0,6.0,2015-03-20,45.0,0.0044,-0.1,0.134,0.1,27407.07,AGCO,39.0,0.065,0.0
0.5,0.22,0.2536,2015-02-18,27759.87,2015-03-27,0.446,21.13,2015-02-18,26600.0,14.0,2015-03-27,19.0,0.0235,-0.1,0.194,0.42,27407.07,FCX,352.8,0.252,0.14
1.5,0.05,0.0869,2015-02-18,27640.07,2015-03-27,1.199,154.85,2015-02-18,27800.0,2.0,2015-03-27,139.0,0.0086,-0.1,0.034,1.05,27407.07,HUM,233.0,1.165,0.0
0.18,0.01,0.0757,2015-02-18,27561.07,2015-03-20,0.147,26.52,2015-02-18,26400.0,11.0,2015-03-20,24.0,0.0061,-0.1,0.007,0.13,27407.07,APOL,154.0,0.13999999999999999,0.0
