end_date,market_value
1996-01-01,1000000
1996-01-22,992489.56
1996-02-18,1014569.91
1996-03-18,1021029.9700000001
1996-04-21,1029899.8700000001
1996-05-21,1050104.82
1996-06-23,1019731.0900000001
1996-07-21,1005298.6100000001
1996-08-18,1016580.4800000001
1996-09-22,1039966.0000000001
1996-10-20,1040434.9700000001
1996-11-17,1055102.9000000001
1996-12-22,1067322.2200000002
1997-01-21,1077898.1600000001
1997-03-02,1088683.9100000001
1997-03-30,1073242.33
1997-04-21,1070544.09
1997-05-18,1099125.62
1997-06-22,1126065.93
1997-07-20,1152425.56
1997-08-17,1165403.42
1997-09-21,1176078.9
1997-10-19,1191823.8099999998
1997-11-23,1173301.5599999998
1997-12-21,1146680.7399999998
1998-01-18,1161114.0999999999
1998-02-22,1195446.0699999998
