ticker,secid,trade_date,expiry,current,strike,delta,c_date,c_bid,c_ask,c_mid,f_date,f_bid,f_ask,f_mid,gross_profit,s_yield,a_yield,target_notional,contracts,actual_notional,total_profit,ending_total
EME,104275.0,2010-07-19,2010-08-21,24.24,22.5,-0.0718,2010-07-19,0.35,0.85,0.515,2010-08-21,0.0,0.2,0.134,0.381,0.0229,0.2802,36187.52,16.0,36000.0,609.6,36797.119999999995
DO,103821.0,2010-07-19,2010-08-21,63.12,55.0,-0.1286,2010-07-19,0.85,1.0,0.899,2010-08-21,0.55,0.65,0.617,0.28200000000000003,0.0163,0.1929,36187.52,7.0,38500.0,197.4,36384.92
RGR,110582.0,2010-07-19,2010-08-21,14.53,12.5,-0.1397,2010-07-19,0.1,0.25,0.15,2010-08-21,0.0,0.1,0.067,0.08299999999999999,0.012,0.139,36187.52,29.0,36250.0,240.7,36428.219999999994
WDC,111987.0,2010-07-20,2010-08-21,31.23,28.0,-0.1034,2010-07-20,0.48,0.5,0.487,2010-08-21,3.25,3.35,3.317,-2.83,0.0174,0.2142,36187.52,13.0,36400.0,-3679.0,32508.519999999997
AET,112507.0,2010-07-19,2010-08-21,27.54,25.0,-0.0922,2010-07-19,0.32,0.35,0.33,2010-08-21,0.0,0.05,0.034,0.29600000000000004,0.0132,0.1538,36187.52,14.0,35000.0,414.4,36601.92
DECK,103729.0,2010-07-19,2010-08-21,44.62,40.0,-0.1035,2010-07-19,1.2,1.4,1.266,2010-08-21,0.0,0.1,0.067,1.199,0.0316,0.4041,36187.52,9.0,36000.0,1079.1,37266.619999999995
HS,125545.0,2010-07-19,2010-08-21,16.36,15.0,-0.0831,2010-07-19,0.25,0.4,0.299,2010-08-21,0.0,0.1,0.067,0.23199999999999998,0.0199,0.2398,36187.52,24.0,36000.0,556.8,36744.32
FLR,112487.0,2010-07-21,2010-08-21,44.43,40.0,-0.0997,2010-07-21,0.55,0.65,0.583,2010-08-21,0.0,0.05,0.034,0.5489999999999999,0.0146,0.1833,36187.52,9.0,36000.0,494.1,36681.619999999995
GTIV,105211.0,2010-07-21,2010-08-21,20.78,17.5,-0.1578,2010-07-21,0.35,0.5,0.399,2010-08-21,0.0,0.25,0.168,0.231,0.0228,0.2993,36187.52,21.0,36750.0,485.1,36672.619999999995
AMED,101321.0,2010-07-19,2010-08-21,25.15,22.5,-0.1054,2010-07-19,1.05,1.14,1.08,2010-08-21,0.0,0.05,0.034,1.046,0.048,0.6677,36187.52,16.0,36000.0,1673.6,37861.119999999995
ATW,101770.0,2010-07-19,2010-08-21,25.94,22.5,-0.1326,2010-07-19,0.3,0.45,0.35,2010-08-21,0.0,0.1,0.067,0.283,0.0156,0.184,36187.52,16.0,36000.0,452.8,36640.32
BCO,109040.0,2010-07-27,2010-08-21,21.15,20.0,-0.0544,2010-07-27,0.25,0.4,0.299,2010-08-21,0.0,0.05,0.034,0.265,0.0149,0.2374,36187.52,18.0,36000.0,477.0,36664.52
NEU,104457.0,2010-07-19,2010-08-21,95.59,85.0,-0.1108,2010-07-19,1.8,2.0,1.866,2010-08-21,0.0,0.15,0.101,1.7650000000000001,0.022,0.2679,36187.52,4.0,34000.0,706.0,36893.52
AEO,101369.0,2010-07-19,2010-08-21,11.91,11.0,-0.0764,2010-07-19,0.2,0.3,0.233,2010-08-21,0.0,0.05,0.034,0.199,0.0212,0.2572,36187.52,33.0,36300.0,656.7,36844.219999999994
APOG,101587.0,2010-07-19,2010-08-21,10.8,10.0,-0.0741,2010-07-19,0.25,0.4,0.299,2010-08-21,0.2,0.4,0.334,-0.03500000000000003,0.0299,0.3791,36187.52,36.0,36000.0,-126.0,36061.52
AFAM,101278.0,2010-07-27,2010-08-21,26.55,25.0,-0.0584,2010-07-27,0.7,0.85,0.75,2010-08-21,0.0,0.05,0.034,0.716,0.03,0.5306,36187.52,14.0,35000.0,1002.4,37189.92
HUM,105833.0,2010-07-27,2010-08-21,46.93,42.0,-0.1051,2010-07-27,0.35,0.45,0.383,2010-08-21,0.0,0.1,0.067,0.316,0.0091,0.1393,36187.52,9.0,37800.0,284.4,36471.92
APOL,101590.0,2010-07-19,2010-08-21,48.19,43.0,-0.1077,2010-07-19,0.81,0.88,0.833,2010-08-21,2.14,2.27,2.227,-1.394,0.0194,0.2332,36187.52,8.0,34400.0,-1115.2,35072.32
RTN,109497.0,2010-07-19,2010-08-21,48.08,43.0,-0.1057,2010-07-19,0.24,0.27,0.25,2010-08-21,0.0,0.03,0.02,0.23,0.0058,0.0651,36187.52,8.0,34400.0,184.0,36371.52
IPHS,128084.0,2010-07-19,2010-08-21,25.93,22.5,-0.1323,2010-07-19,0.2,0.4,0.266,2010-08-21,0.0,0.1,0.067,0.199,0.0118,0.1365,36187.52,16.0,36000.0,318.4,36505.92
TTEC,110930.0,2010-07-19,2010-08-21,13.63,12.5,-0.0829,2010-07-19,0.25,0.35,0.283,2010-08-21,0.0,0.1,0.067,0.21599999999999997,0.0226,0.2761,36187.52,29.0,36250.0,626.4,36813.92
UIS,111404.0,2010-07-19,2010-08-21,20.41,17.5,-0.1426,2010-07-19,0.3,0.4,0.333,2010-08-21,0.0,0.05,0.034,0.29900000000000004,0.019,0.2279,36187.52,21.0,36750.0,627.9,36815.42
NSR,124065.0,2010-07-19,2010-08-21,21.38,20.0,-0.0645,2010-07-19,0.2,0.3,0.233,2010-08-21,0.0,0.1,0.067,0.166,0.0117,0.1353,36187.52,18.0,36000.0,298.8,36486.32
GPS,105120.0,2010-07-23,2010-08-21,18.25,16.0,-0.1233,2010-07-23,0.05,0.15,0.083,2010-08-21,0.0,0.02,0.013,0.07,0.0052,0.0665,36187.52,23.0,36800.0,161.0,36348.52
CI,102525.0,2010-07-19,2010-08-21,30.88,28.0,-0.0933,2010-07-19,0.35,0.45,0.383,2010-08-21,0.0,0.04,0.027,0.356,0.0137,0.16,36187.52,13.0,36400.0,462.8,36650.32
BKE,102395.0,2010-07-19,2010-08-21,27.85,25.0,-0.1023,2010-07-19,0.5,0.65,0.55,2010-08-21,0.5,0.75,0.668,-0.118,0.022,0.2679,36187.52,14.0,35000.0,-165.2,36022.32
CF,124758.0,2010-07-19,2010-08-21,75.66,70.0,-0.0748,2010-07-19,1.87,1.95,1.896,2010-08-21,0.0,0.02,0.013,1.883,0.0271,0.3387,36187.52,5.0,35000.0,941.5,37129.02
FSTR,104966.0,2010-07-19,2010-08-21,25.52,22.5,-0.1183,2010-07-19,0.2,0.65,0.349,2010-08-21,0.0,0.1,0.067,0.282,0.0155,0.1827,36187.52,16.0,36000.0,451.2,36638.719999999994
BBY,102113.0,2010-07-19,2010-08-21,34.33,31.0,-0.097,2010-07-19,0.33,0.35,0.337,2010-08-21,0.0,0.01,0.007,0.33,0.0109,0.1255,36187.52,12.0,37200.0,396.0,36583.52
