market_value,end_date
1000000,2005-01-01
2005-02-20,1013182.9199999999
2005-04-17,998243.39
2005-05-22,1035174.9299999999
2005-06-19,1058867.0
2005-07-17,1085991.48
2005-08-22,1088809.99
2005-09-18,1099108.71
2005-10-23,1090963.06
2005-11-21,1111689.5000000002
2005-12-19,1140588.7300000002
2006-01-22,1154973.3800000001
2006-02-21,1174511.0700000003
2006-03-19,1204210.2900000003
2006-04-23,1243125.9500000002
2006-05-23,1188354.0800000003
2006-06-19,1178109.6500000004
2006-07-23,1188853.6300000004
2006-08-27,1228149.1800000004
2006-10-22,1262212.2800000003
2006-11-21,1305988.4200000002
2006-12-22,1310594.5400000003
2007-01-21,1319469.2200000002
2007-02-18,1351937.7300000002
2007-03-21,1312083.37
2007-04-26,1346136.25
2007-06-17,1378427.7200000002
2007-07-23,1401874.9400000002
2007-08-19,1306298.9700000002
2007-09-24,1345182.31
2007-10-25,1340693.81
2007-11-18,1270581.38
2007-12-23,1337295.7599999998
2008-01-21,1371606.7499999998
2008-02-17,1435731.5099999998
2008-03-23,1423694.1999999997
2008-04-22,1441218.9399999997
2008-05-18,1505375.8099999998
2008-06-22,1471173.5299999998
2008-07-25,1451318.39
2008-09-21,1545955.13
2008-10-20,1107253.74
2008-11-23,954434.0199999999
2009-01-16,1083400.0899999999
2009-02-22,1088887.9
2009-03-22,1167110.9
2009-04-23,1233431.7
2009-05-17,1295083.7
2009-06-21,1353798.9
2009-07-19,1434987.27
2009-08-23,1481545.37
2009-09-20,1542201.27
2009-10-18,1572916.9
2009-11-23,1554166.14
2010-01-17,1611451.8
2010-02-21,1586974.9200000002
2010-03-21,1624540.4500000002
2010-04-18,1653029.5100000002
2010-05-23,1524330.7000000002
2010-06-20,1593998.7500000002
2010-07-19,1609543.7200000002
2010-08-22,1659400.5400000003
2010-09-19,1707319.9700000002
2010-10-18,1711710.3200000003
2010-11-21,1765794.6800000004
2010-12-20,1809831.4900000005
2011-01-23,1803908.3500000006
2011-02-21,1872764.1400000006
2011-04-17,1882908.6500000006
2011-05-22,1911974.3300000005
2011-06-19,1899337.9700000007
2011-07-17,1965547.7100000007
2011-08-21,1709868.5400000005
2011-09-18,1809025.8600000006
2011-10-24,1813422.6500000006
2011-11-24,1735625.4700000007
2012-01-22,1814087.0300000007
2012-02-21,1905634.9800000007
2012-03-18,1897295.8500000008
2012-04-22,1845825.8400000008
2012-05-20,1676223.0900000008
2012-06-17,1642808.3400000008
2012-07-22,1644433.2900000007
2012-08-19,1704730.3200000008
2012-09-23,1699868.8200000008
2012-10-23,1637444.7500000007
2012-11-18,1636194.9300000009
2012-12-25,1697988.8900000008
2013-02-15,1712255.520000001
2013-03-17,1716684.3500000008
2013-04-21,1706569.4400000009
2013-05-19,1761823.4400000009
2013-06-23,1667378.8400000008
2013-07-22,1740098.250000001
2013-08-18,1806878.820000001
2013-09-22,1858054.010000001
2013-10-22,1887540.550000001
2013-11-18,1944428.080000001
2013-12-23,1984148.160000001
2014-01-21,1994307.2900000012
2014-02-23,2032822.7000000011
2014-03-26,2017278.100000001
2014-05-09,1997610.180000001
2014-06-22,2081444.9600000011
2014-08-01,2091562.110000001
2014-09-18,2128588.130000001
2014-10-25,2063378.300000001
2014-11-26,2126936.870000001
2015-01-10,2015495.760000001
2015-02-21,2085519.470000001
2015-04-09,2122391.670000001
2015-05-17,2124940.9100000006
2015-06-22,2089024.9300000006
2015-07-27,1988339.3600000006
2015-09-08,1966154.0500000005
2015-10-17,1984792.4700000004
2015-11-23,1984197.1200000006
2016-01-06,2004558.2200000007
