market_value,end_date
1000000,2005-01-01
2005-02-20,1019306.8
2005-04-17,1018363.7000000001
2005-05-23,1034436.7000000001
2005-06-21,1043036.2000000001
2005-07-20,1050448.4000000001
2005-08-23,1042955.0000000001
2005-09-19,1040355.3000000002
2005-10-24,1037697.2000000002
2005-11-27,1052487.4000000001
2006-01-22,1068258.4000000001
2006-02-23,1078214.9000000001
2006-03-28,1089547.6
2006-05-21,1084451.6
2006-06-23,1072233.6
2006-07-26,1052517.5
2006-09-17,1051254.2
2006-10-22,1065173.2
2006-11-28,1080528.5
2007-01-21,1092199.9
2007-02-26,1104521.5
2007-04-22,1120866.8
2007-06-01,1132050.5
2007-07-22,1128478.0
2007-08-30,1108291.3
2007-10-21,1116592.0
2007-11-27,1098584.1
2008-01-20,1117890.1
2008-02-21,1130910.7000000002
2008-03-28,1101866.3000000003
2008-05-18,1132377.0000000002
2008-06-22,1122552.2000000002
2008-07-30,1116195.9000000001
2008-09-21,1135087.1
2008-10-23,856800.4000000001
2008-11-26,831565.6000000001
2009-01-18,893415.0000000001
2009-02-22,913676.5000000001
2009-03-29,957154.9000000001
2009-05-17,1014344.6000000001
2009-06-21,1029289.4000000001
2009-07-23,1053185.1
2009-08-26,1069220.2000000002
2009-10-18,1097013.3000000003
2009-11-23,1107287.2000000002
2010-01-17,1127358.0000000002
2010-02-22,1123368.3000000003
2010-03-25,1135934.1000000003
2010-04-27,1143740.8000000003
2010-06-20,1129184.7000000002
2010-07-19,1116223.7000000002
2010-08-23,1129111.4000000001
2010-09-29,1146811.9000000001
2010-11-21,1158640.4000000001
2010-12-23,1167473.4000000001
2011-01-23,1168009.0000000002
2011-02-23,1182365.1000000003
2011-04-17,1203364.6000000003
2011-05-22,1209170.5000000002
2011-06-28,1220552.3000000003
2011-08-21,1133390.2000000002
2011-09-20,1157244.7000000002
2011-10-27,1182041.7000000002
2011-12-18,1179601.1
2012-01-23,1193386.7000000002
2012-02-21,1210737.3000000003
2012-03-22,1206231.6000000003
2012-04-27,1186206.1000000003
2012-06-17,1147215.6000000003
2012-07-23,1154819.5000000002
2012-08-20,1170495.2000000002
2012-09-23,1174773.9000000001
2012-10-25,1142341.6
2012-11-25,1153971.7000000002
2013-01-02,1162711.1
2013-02-17,1185452.7000000002
2013-03-21,1185491.7000000002
2013-04-25,1197396.6
2013-05-25,1208254.6
2013-07-21,1223693.8
2013-08-20,1234252.4000000001
2013-09-22,1238775.7000000002
2013-10-22,1241767.1
2013-11-19,1249823.7000000002
2013-12-22,1249907.5000000002
2014-01-24,1251183.4000000001
2014-02-25,1266563.2000000002
2014-04-18,1274665.5000000002
2014-05-22,1283395.9000000001
2014-06-23,1283851.7000000002
2014-07-31,1276821.3000000003
2014-09-21,1277415.1000000003
2014-10-31,1259549.4000000004
2014-12-18,1247743.4000000004
2015-01-23,1259291.9000000004
2015-02-26,1273036.6000000003
2015-04-15,1272824.5000000002
2015-05-18,1278647.3000000003
2015-06-23,1268120.5000000002
2015-07-27,1244504.6000000003
2015-09-13,1242234.7000000004
2015-10-19,1251597.3000000005
2015-11-24,1243360.7000000004
2016-01-11,1223358.8000000005
