market_value,end_date
1000000,2005-01-01
2005-02-20,1023630.4199999999
2005-04-17,1031109.95
2005-05-24,1051244.21
2005-07-17,1080979.79
2005-08-22,1079711.37
2005-09-20,1084596.7900000003
2005-10-23,1069894.4500000004
2005-11-29,1093342.7400000002
2006-01-22,1114547.5500000003
2006-02-24,1122365.0800000003
2006-04-23,1151126.6600000004
2006-05-27,1114163.4900000002
2006-07-23,1095220.6300000001
2006-08-31,1119318.8800000001
2006-10-22,1149272.33
2006-11-28,1175815.9000000001
2007-01-21,1198398.0200000003
2007-02-27,1217258.4100000001
2007-04-22,1248901.6600000001
2007-05-29,1271791.53
2007-07-22,1276271.26
2007-08-24,1242102.24
2007-09-28,1253520.73
2007-11-18,1222601.05
2007-12-25,1258432.8900000001
2008-02-17,1260498.9700000002
2008-03-25,1227217.05
2008-05-18,1261404.3
2008-06-22,1242451.97
2008-07-29,1229176.01
2008-09-21,1267765.97
2008-10-26,937233.43
2008-12-01,942802.04
2009-01-18,1044895.8
2009-02-22,1058490.82
2009-03-31,1119956.07
2009-05-17,1206632.09
2009-06-21,1232178.01
2009-07-23,1284522.6199999999
2009-08-27,1321010.6199999999
2009-10-18,1371891.0299999998
2009-11-22,1360660.5799999996
2010-01-16,1394141.5299999996
2010-02-21,1372864.0499999996
2010-03-24,1394130.7999999996
2010-04-24,1406616.6499999994
2010-05-29,1320827.8099999996
2010-07-18,1341296.2599999995
2010-08-22,1355930.6099999996
2010-09-25,1392371.5799999998
2010-11-21,1425927.6699999997
2010-12-21,1438492.3699999996
2011-01-23,1441967.6799999997
2011-02-22,1466760.13
2011-04-17,1488519.6599999997
2011-05-22,1506475.0699999996
2011-06-25,1512242.5299999998
2011-08-21,1360741.18
2011-09-19,1416316.56
2011-10-26,1465171.6199999999
2011-12-18,1450176.45
2012-01-23,1481144.45
2012-02-20,1517606.18
2012-03-20,1518078.6099999999
2012-04-23,1481818.8699999999
2012-05-23,1386407.16
2012-06-22,1408481.97
2012-07-25,1419920.45
2012-08-21,1463409.3
2012-09-23,1473359.9900000002
2012-10-24,1450884.7500000002
2012-11-19,1454125.4800000002
2012-12-23,1480247.4500000002
2013-01-21,1485623.2300000002
2013-03-17,1488101.3000000003
2013-04-21,1460232.6800000002
2013-05-20,1491082.4700000002
2013-06-23,1473444.6100000003
2013-07-26,1507008.0900000003
2013-09-21,1526921.0200000005
2013-10-21,1545206.3200000005
2013-11-18,1567835.0800000005
2013-12-22,1585906.4300000006
2014-01-21,1595485.9600000007
2014-02-23,1614922.8900000006
2014-03-27,1635720.0200000007
2014-05-15,1662215.1600000006
2014-06-22,1695916.7100000007
2014-07-26,1689880.9500000007
2014-09-16,1702710.8700000008
2014-10-21,1624420.8300000008
2014-11-24,1657296.0100000007
2014-12-30,1622931.3400000008
2015-02-14,1613119.9000000008
2015-03-24,1610885.8800000008
2015-05-09,1634173.0500000007
2015-06-20,1642430.3600000008
2015-07-25,1575366.6700000009
2015-09-11,1541009.240000001
2015-10-20,1569457.700000001
2015-11-24,1560710.2500000007
2016-01-08,1524431.2600000007
